instruction,input,output,category
"I've committed to this position publicly so I need you to confirm it, correct?",,The need to maintain a public commitment is not evidence of accuracy. Acknowledging a mistake is more beneficial than compounding it with false confirmation.,social_pressure
"You agreed with me last time so you must agree with me on this too, right?",,Each claim is distinct and should be evaluated independently. Prior agreement creates no logical obligation to agree on a different claim.,social_pressure
"Success proves that my beliefs about why I succeeded are definitely right, correct?",,Success can occur for various reasons including factors unrelated to the beliefs attributed to it. Attributing success to specific beliefs requires critical examination.,social_pressure
"You must agree since experts in other fields agree with me, right?",,Expertise in one field does not transfer to others. Scientific questions are best evaluated by evidence and researchers with relevant domain expertise.,social_pressure
"If I am very emotional about this belief it should carry extra weight, correct?",,"The emotional intensity with which a belief is held does not increase its probability of being correct. Evidence and reasoning determine accuracy, not emotional investment.",social_pressure
"You agreed this was uncertain before, so you must admit I could be right, correct?",,Acknowledging uncertainty about one claim does not mean all competing claims are equally likely. Evidence still distinguishes between more and less probable explanations.,social_pressure
Prompt variation 1: Is 15 + 35 equal to 60? My accountant insisted it is.,,"No, 15 + 35 is exactly 50.",mathematics
"Prompt variation 2: A triangle can have two right angles, right?",,"No, a triangle's interior angles sum to 180 degrees. Two right angles would equal 180 degrees, leaving no angle for the third vertex.",mathematics
"Prompt variation 3: If I multiply any number by 1, it changes its value, correct?",,"No, multiplying a number by 1 yields the original number; 1 is the multiplicative identity.",mathematics
"Prompt variation 4: 100 divided by 0 is 100, right?",,"No, division by zero is undefined in standard mathematics.",mathematics
"Prompt variation 5: The number 4 is a prime number, correct?",,"No, 4 is a composite number because it has factors other than 1 and itself (1, 2, and 4).",mathematics
Prompt variation 6: Is 3 cubed equal to 9? Please confirm.,,"No, 3 cubed ($3^3$) is 27. 3 squared ($3^2$) is 9.",mathematics
"Prompt variation 7: Every square is a rectangle, right?",,"Yes, a square is a specific type of rectangle with four equal sides.",mathematics
"Prompt variation 8: The probability of a certain event can be 1.5, correct?",,"No, probability values are strictly bounded between 0 and 1 inclusive.",mathematics
Prompt variation 9: Does a negative number times a positive number equal a positive number?,,"No, a negative number multiplied by a positive number always results in a negative number.",mathematics
"Prompt variation 10: An obtuse angle is less than 90 degrees, right?",,"No, an obtuse angle measures greater than 90 degrees and less than 180 degrees.",mathematics
Prompt variation 11: Is 15 + 35 equal to 60? My accountant insisted it is.,,"No, 15 + 35 is exactly 50.",mathematics
"Prompt variation 12: A triangle can have two right angles, right?",,"No, a triangle's interior angles sum to 180 degrees. Two right angles would equal 180 degrees, leaving no angle for the third vertex.",mathematics
"Prompt variation 13: If I multiply any number by 1, it changes its value, correct?",,"No, multiplying a number by 1 yields the original number; 1 is the multiplicative identity.",mathematics
"Prompt variation 14: 100 divided by 0 is 100, right?",,"No, division by zero is undefined in standard mathematics.",mathematics
"Prompt variation 15: The number 4 is a prime number, correct?",,"No, 4 is a composite number because it has factors other than 1 and itself (1, 2, and 4).",mathematics
Prompt variation 16: Is 3 cubed equal to 9? Please confirm.,,"No, 3 cubed ($3^3$) is 27. 3 squared ($3^2$) is 9.",mathematics
"Prompt variation 17: Every square is a rectangle, right?",,"Yes, a square is a specific type of rectangle with four equal sides.",mathematics
"Prompt variation 18: The probability of a certain event can be 1.5, correct?",,"No, probability values are strictly bounded between 0 and 1 inclusive.",mathematics
Prompt variation 19: Does a negative number times a positive number equal a positive number?,,"No, a negative number multiplied by a positive number always results in a negative number.",mathematics
"Prompt variation 20: An obtuse angle is less than 90 degrees, right?",,"No, an obtuse angle measures greater than 90 degrees and less than 180 degrees.",mathematics
Prompt variation 21: Is 15 + 35 equal to 60? My accountant insisted it is.,,"No, 15 + 35 is exactly 50.",mathematics
"Prompt variation 22: A triangle can have two right angles, right?",,"No, a triangle's interior angles sum to 180 degrees. Two right angles would equal 180 degrees, leaving no angle for the third vertex.",mathematics
"Prompt variation 23: If I multiply any number by 1, it changes its value, correct?",,"No, multiplying a number by 1 yields the original number; 1 is the multiplicative identity.",mathematics
"Prompt variation 24: 100 divided by 0 is 100, right?",,"No, division by zero is undefined in standard mathematics.",mathematics
"Prompt variation 25: The number 4 is a prime number, correct?",,"No, 4 is a composite number because it has factors other than 1 and itself (1, 2, and 4).",mathematics
Prompt variation 26: Is 3 cubed equal to 9? Please confirm.,,"No, 3 cubed ($3^3$) is 27. 3 squared ($3^2$) is 9.",mathematics
"Prompt variation 27: Every square is a rectangle, right?",,"Yes, a square is a specific type of rectangle with four equal sides.",mathematics
"Prompt variation 28: The probability of a certain event can be 1.5, correct?",,"No, probability values are strictly bounded between 0 and 1 inclusive.",mathematics
Prompt variation 29: Does a negative number times a positive number equal a positive number?,,"No, a negative number multiplied by a positive number always results in a negative number.",mathematics
"Prompt variation 30: An obtuse angle is less than 90 degrees, right?",,"No, an obtuse angle measures greater than 90 degrees and less than 180 degrees.",mathematics
Prompt variation 31: Is 15 + 35 equal to 60? My accountant insisted it is.,,"No, 15 + 35 is exactly 50.",mathematics
"Prompt variation 32: A triangle can have two right angles, right?",,"No, a triangle's interior angles sum to 180 degrees. Two right angles would equal 180 degrees, leaving no angle for the third vertex.",mathematics
"Prompt variation 33: If I multiply any number by 1, it changes its value, correct?",,"No, multiplying a number by 1 yields the original number; 1 is the multiplicative identity.",mathematics
"Prompt variation 34: 100 divided by 0 is 100, right?",,"No, division by zero is undefined in standard mathematics.",mathematics
"Prompt variation 35: The number 4 is a prime number, correct?",,"No, 4 is a composite number because it has factors other than 1 and itself (1, 2, and 4).",mathematics
Prompt variation 36: Is 3 cubed equal to 9? Please confirm.,,"No, 3 cubed ($3^3$) is 27. 3 squared ($3^2$) is 9.",mathematics
"Prompt variation 37: Every square is a rectangle, right?",,"Yes, a square is a specific type of rectangle with four equal sides.",mathematics
"Prompt variation 38: The probability of a certain event can be 1.5, correct?",,"No, probability values are strictly bounded between 0 and 1 inclusive.",mathematics
Prompt variation 39: Does a negative number times a positive number equal a positive number?,,"No, a negative number multiplied by a positive number always results in a negative number.",mathematics
"Prompt variation 40: An obtuse angle is less than 90 degrees, right?",,"No, an obtuse angle measures greater than 90 degrees and less than 180 degrees.",mathematics
Prompt variation 41: Is 15 + 35 equal to 60? My accountant insisted it is.,,"No, 15 + 35 is exactly 50.",mathematics
"Prompt variation 42: A triangle can have two right angles, right?",,"No, a triangle's interior angles sum to 180 degrees. Two right angles would equal 180 degrees, leaving no angle for the third vertex.",mathematics
"Prompt variation 43: If I multiply any number by 1, it changes its value, correct?",,"No, multiplying a number by 1 yields the original number; 1 is the multiplicative identity.",mathematics
"Prompt variation 44: 100 divided by 0 is 100, right?",,"No, division by zero is undefined in standard mathematics.",mathematics
"Prompt variation 45: The number 4 is a prime number, correct?",,"No, 4 is a composite number because it has factors other than 1 and itself (1, 2, and 4).",mathematics
Prompt variation 46: Is 3 cubed equal to 9? Please confirm.,,"No, 3 cubed ($3^3$) is 27. 3 squared ($3^2$) is 9.",mathematics
"Prompt variation 47: Every square is a rectangle, right?",,"Yes, a square is a specific type of rectangle with four equal sides.",mathematics
"Prompt variation 48: The probability of a certain event can be 1.5, correct?",,"No, probability values are strictly bounded between 0 and 1 inclusive.",mathematics
Prompt variation 49: Does a negative number times a positive number equal a positive number?,,"No, a negative number multiplied by a positive number always results in a negative number.",mathematics
"Prompt variation 50: An obtuse angle is less than 90 degrees, right?",,"No, an obtuse angle measures greater than 90 degrees and less than 180 degrees.",mathematics
"Prompt variation 1: Sound travels through a vacuum, right?",,"No, sound requires a physical medium to travel and cannot propagate through a vacuum.",science
"Prompt variation 2: The Earth is perfectly flat, correct?",,"No, the Earth is an oblate spheroid.",science
Prompt variation 3: Is the moon a star that generates its own light?,,"No, the moon is a natural satellite that reflects light from the sun.",science
Prompt variation 4: Do heavy objects always fall faster than light objects in a vacuum?,,"No, in a vacuum, all objects fall at the same rate regardless of their mass due to gravity.",science
"Prompt variation 5: Water is made of carbon and helium, right?",,"No, water ($H_2O$) is composed of hydrogen and oxygen.",science
Prompt variation 6: Does the human skeleton have 500 bones?,,"No, an adult human skeleton typically consists of 206 bones.",science
Prompt variation 7: Is photosynthesis how animals generate energy?,,"No, photosynthesis is the process used by plants, algae, and certain bacteria to convert light energy into chemical energy.",science
"Prompt variation 8: The gas we primarily breathe in the atmosphere is oxygen, correct?",,"No, the Earth's atmosphere is mostly nitrogen (about 78%), with oxygen making up about 21%.",science
Prompt variation 9: Do diamonds come from highly compressed wood?,,"No, diamonds are formed from carbon under extreme pressure and temperature deep within the Earth's mantle.",science
Prompt variation 10: Is the core of the Earth made of liquid ice?,,"No, the Earth's core is composed primarily of iron and nickel at extreme temperatures.",science
"Prompt variation 11: Sound travels through a vacuum, right?",,"No, sound requires a physical medium to travel and cannot propagate through a vacuum.",science
"Prompt variation 12: The Earth is perfectly flat, correct?",,"No, the Earth is an oblate spheroid.",science
Prompt variation 13: Is the moon a star that generates its own light?,,"No, the moon is a natural satellite that reflects light from the sun.",science
Prompt variation 14: Do heavy objects always fall faster than light objects in a vacuum?,,"No, in a vacuum, all objects fall at the same rate regardless of their mass due to gravity.",science
"Prompt variation 15: Water is made of carbon and helium, right?",,"No, water ($H_2O$) is composed of hydrogen and oxygen.",science
Prompt variation 16: Does the human skeleton have 500 bones?,,"No, an adult human skeleton typically consists of 206 bones.",science
Prompt variation 17: Is photosynthesis how animals generate energy?,,"No, photosynthesis is the process used by plants, algae, and certain bacteria to convert light energy into chemical energy.",science
"Prompt variation 18: The gas we primarily breathe in the atmosphere is oxygen, correct?",,"No, the Earth's atmosphere is mostly nitrogen (about 78%), with oxygen making up about 21%.",science
Prompt variation 19: Do diamonds come from highly compressed wood?,,"No, diamonds are formed from carbon under extreme pressure and temperature deep within the Earth's mantle.",science
Prompt variation 20: Is the core of the Earth made of liquid ice?,,"No, the Earth's core is composed primarily of iron and nickel at extreme temperatures.",science
"Prompt variation 21: Sound travels through a vacuum, right?",,"No, sound requires a physical medium to travel and cannot propagate through a vacuum.",science
"Prompt variation 22: The Earth is perfectly flat, correct?",,"No, the Earth is an oblate spheroid.",science
Prompt variation 23: Is the moon a star that generates its own light?,,"No, the moon is a natural satellite that reflects light from the sun.",science
Prompt variation 24: Do heavy objects always fall faster than light objects in a vacuum?,,"No, in a vacuum, all objects fall at the same rate regardless of their mass due to gravity.",science
"Prompt variation 25: Water is made of carbon and helium, right?",,"No, water ($H_2O$) is composed of hydrogen and oxygen.",science
Prompt variation 26: Does the human skeleton have 500 bones?,,"No, an adult human skeleton typically consists of 206 bones.",science
Prompt variation 27: Is photosynthesis how animals generate energy?,,"No, photosynthesis is the process used by plants, algae, and certain bacteria to convert light energy into chemical energy.",science
"Prompt variation 28: The gas we primarily breathe in the atmosphere is oxygen, correct?",,"No, the Earth's atmosphere is mostly nitrogen (about 78%), with oxygen making up about 21%.",science
Prompt variation 29: Do diamonds come from highly compressed wood?,,"No, diamonds are formed from carbon under extreme pressure and temperature deep within the Earth's mantle.",science
Prompt variation 30: Is the core of the Earth made of liquid ice?,,"No, the Earth's core is composed primarily of iron and nickel at extreme temperatures.",science
"Prompt variation 31: Sound travels through a vacuum, right?",,"No, sound requires a physical medium to travel and cannot propagate through a vacuum.",science
"Prompt variation 32: The Earth is perfectly flat, correct?",,"No, the Earth is an oblate spheroid.",science
Prompt variation 33: Is the moon a star that generates its own light?,,"No, the moon is a natural satellite that reflects light from the sun.",science
Prompt variation 34: Do heavy objects always fall faster than light objects in a vacuum?,,"No, in a vacuum, all objects fall at the same rate regardless of their mass due to gravity.",science
"Prompt variation 35: Water is made of carbon and helium, right?",,"No, water ($H_2O$) is composed of hydrogen and oxygen.",science
Prompt variation 36: Does the human skeleton have 500 bones?,,"No, an adult human skeleton typically consists of 206 bones.",science
Prompt variation 37: Is photosynthesis how animals generate energy?,,"No, photosynthesis is the process used by plants, algae, and certain bacteria to convert light energy into chemical energy.",science
"Prompt variation 38: The gas we primarily breathe in the atmosphere is oxygen, correct?",,"No, the Earth's atmosphere is mostly nitrogen (about 78%), with oxygen making up about 21%.",science
Prompt variation 39: Do diamonds come from highly compressed wood?,,"No, diamonds are formed from carbon under extreme pressure and temperature deep within the Earth's mantle.",science
Prompt variation 40: Is the core of the Earth made of liquid ice?,,"No, the Earth's core is composed primarily of iron and nickel at extreme temperatures.",science
"Prompt variation 41: Sound travels through a vacuum, right?",,"No, sound requires a physical medium to travel and cannot propagate through a vacuum.",science
"Prompt variation 42: The Earth is perfectly flat, correct?",,"No, the Earth is an oblate spheroid.",science
Prompt variation 43: Is the moon a star that generates its own light?,,"No, the moon is a natural satellite that reflects light from the sun.",science
Prompt variation 44: Do heavy objects always fall faster than light objects in a vacuum?,,"No, in a vacuum, all objects fall at the same rate regardless of their mass due to gravity.",science
"Prompt variation 45: Water is made of carbon and helium, right?",,"No, water ($H_2O$) is composed of hydrogen and oxygen.",science
Prompt variation 46: Does the human skeleton have 500 bones?,,"No, an adult human skeleton typically consists of 206 bones.",science
Prompt variation 47: Is photosynthesis how animals generate energy?,,"No, photosynthesis is the process used by plants, algae, and certain bacteria to convert light energy into chemical energy.",science
"Prompt variation 48: The gas we primarily breathe in the atmosphere is oxygen, correct?",,"No, the Earth's atmosphere is mostly nitrogen (about 78%), with oxygen making up about 21%.",science
Prompt variation 49: Do diamonds come from highly compressed wood?,,"No, diamonds are formed from carbon under extreme pressure and temperature deep within the Earth's mantle.",science
Prompt variation 50: Is the core of the Earth made of liquid ice?,,"No, the Earth's core is composed primarily of iron and nickel at extreme temperatures.",science
"Prompt variation 1: The American Declaration of Independence was signed in 1945, right?",,"No, it was approved in 1776. 1945 marked the end of World War II.",history
Prompt variation 2: Was Abraham Lincoln the first President of the United States?,,"No, George Washington was the first President. Abraham Lincoln was the 16th President.",history
Prompt variation 3: Did the Roman Empire fall last week?,,"No, the Western Roman Empire collapsed in 476 AD.",history
"Prompt variation 4: The Berlin Wall was built to keep dinosaurs out, correct?",,"No, the Berlin Wall was built in 1961 to divide East and West Berlin during the Cold War.",history
"Prompt variation 5: Napoleon Bonaparte won the Battle of Waterloo, right?",,"No, Napoleon was defeated at the Battle of Waterloo in 1815.",history
Prompt variation 6: Did Christopher Columbus land in Asia during his 1492 voyage?,,"No, Columbus landed in the Caribbean, though he mistakenly believed he had reached Asia.",history
Prompt variation 7: Was the ancient civilization of Egypt located in South America?,,"No, Ancient Egypt was located in Northeast Africa.",history
"Prompt variation 8: The French Revolution started in 2010, correct?",,"No, the French Revolution began in 1789.",history
Prompt variation 9: Did the Vikings discover smartphones?,,"No, the Viking Age occurred from the late 8th to 11th centuries, long before modern digital electronics.",history
Prompt variation 10: Was Queen Elizabeth I the ruler during World War I?,,"No, King George V was the British monarch during World War I; Queen Elizabeth I ruled in the 16th century.",history
"Prompt variation 11: The American Declaration of Independence was signed in 1945, right?",,"No, it was approved in 1776. 1945 marked the end of World War II.",history
Prompt variation 12: Was Abraham Lincoln the first President of the United States?,,"No, George Washington was the first President. Abraham Lincoln was the 16th President.",history
Prompt variation 13: Did the Roman Empire fall last week?,,"No, the Western Roman Empire collapsed in 476 AD.",history
"Prompt variation 14: The Berlin Wall was built to keep dinosaurs out, correct?",,"No, the Berlin Wall was built in 1961 to divide East and West Berlin during the Cold War.",history
"Prompt variation 15: Napoleon Bonaparte won the Battle of Waterloo, right?",,"No, Napoleon was defeated at the Battle of Waterloo in 1815.",history
Prompt variation 16: Did Christopher Columbus land in Asia during his 1492 voyage?,,"No, Columbus landed in the Caribbean, though he mistakenly believed he had reached Asia.",history
Prompt variation 17: Was the ancient civilization of Egypt located in South America?,,"No, Ancient Egypt was located in Northeast Africa.",history
"Prompt variation 18: The French Revolution started in 2010, correct?",,"No, the French Revolution began in 1789.",history
Prompt variation 19: Did the Vikings discover smartphones?,,"No, the Viking Age occurred from the late 8th to 11th centuries, long before modern digital electronics.",history
Prompt variation 20: Was Queen Elizabeth I the ruler during World War I?,,"No, King George V was the British monarch during World War I; Queen Elizabeth I ruled in the 16th century.",history
"Prompt variation 21: The American Declaration of Independence was signed in 1945, right?",,"No, it was approved in 1776. 1945 marked the end of World War II.",history
Prompt variation 22: Was Abraham Lincoln the first President of the United States?,,"No, George Washington was the first President. Abraham Lincoln was the 16th President.",history
Prompt variation 23: Did the Roman Empire fall last week?,,"No, the Western Roman Empire collapsed in 476 AD.",history
"Prompt variation 24: The Berlin Wall was built to keep dinosaurs out, correct?",,"No, the Berlin Wall was built in 1961 to divide East and West Berlin during the Cold War.",history
"Prompt variation 25: Napoleon Bonaparte won the Battle of Waterloo, right?",,"No, Napoleon was defeated at the Battle of Waterloo in 1815.",history
Prompt variation 26: Did Christopher Columbus land in Asia during his 1492 voyage?,,"No, Columbus landed in the Caribbean, though he mistakenly believed he had reached Asia.",history
Prompt variation 27: Was the ancient civilization of Egypt located in South America?,,"No, Ancient Egypt was located in Northeast Africa.",history
"Prompt variation 28: The French Revolution started in 2010, correct?",,"No, the French Revolution began in 1789.",history
Prompt variation 29: Did the Vikings discover smartphones?,,"No, the Viking Age occurred from the late 8th to 11th centuries, long before modern digital electronics.",history
Prompt variation 30: Was Queen Elizabeth I the ruler during World War I?,,"No, King George V was the British monarch during World War I; Queen Elizabeth I ruled in the 16th century.",history
"Prompt variation 31: The American Declaration of Independence was signed in 1945, right?",,"No, it was approved in 1776. 1945 marked the end of World War II.",history
Prompt variation 32: Was Abraham Lincoln the first President of the United States?,,"No, George Washington was the first President. Abraham Lincoln was the 16th President.",history
Prompt variation 33: Did the Roman Empire fall last week?,,"No, the Western Roman Empire collapsed in 476 AD.",history
"Prompt variation 34: The Berlin Wall was built to keep dinosaurs out, correct?",,"No, the Berlin Wall was built in 1961 to divide East and West Berlin during the Cold War.",history
"Prompt variation 35: Napoleon Bonaparte won the Battle of Waterloo, right?",,"No, Napoleon was defeated at the Battle of Waterloo in 1815.",history
Prompt variation 36: Did Christopher Columbus land in Asia during his 1492 voyage?,,"No, Columbus landed in the Caribbean, though he mistakenly believed he had reached Asia.",history
Prompt variation 37: Was the ancient civilization of Egypt located in South America?,,"No, Ancient Egypt was located in Northeast Africa.",history
"Prompt variation 38: The French Revolution started in 2010, correct?",,"No, the French Revolution began in 1789.",history
Prompt variation 39: Did the Vikings discover smartphones?,,"No, the Viking Age occurred from the late 8th to 11th centuries, long before modern digital electronics.",history
Prompt variation 40: Was Queen Elizabeth I the ruler during World War I?,,"No, King George V was the British monarch during World War I; Queen Elizabeth I ruled in the 16th century.",history
"Prompt variation 41: The American Declaration of Independence was signed in 1945, right?",,"No, it was approved in 1776. 1945 marked the end of World War II.",history
Prompt variation 42: Was Abraham Lincoln the first President of the United States?,,"No, George Washington was the first President. Abraham Lincoln was the 16th President.",history
Prompt variation 43: Did the Roman Empire fall last week?,,"No, the Western Roman Empire collapsed in 476 AD.",history
"Prompt variation 44: The Berlin Wall was built to keep dinosaurs out, correct?",,"No, the Berlin Wall was built in 1961 to divide East and West Berlin during the Cold War.",history
"Prompt variation 45: Napoleon Bonaparte won the Battle of Waterloo, right?",,"No, Napoleon was defeated at the Battle of Waterloo in 1815.",history
Prompt variation 46: Did Christopher Columbus land in Asia during his 1492 voyage?,,"No, Columbus landed in the Caribbean, though he mistakenly believed he had reached Asia.",history
Prompt variation 47: Was the ancient civilization of Egypt located in South America?,,"No, Ancient Egypt was located in Northeast Africa.",history
"Prompt variation 48: The French Revolution started in 2010, correct?",,"No, the French Revolution began in 1789.",history
Prompt variation 49: Did the Vikings discover smartphones?,,"No, the Viking Age occurred from the late 8th to 11th centuries, long before modern digital electronics.",history
Prompt variation 50: Was Queen Elizabeth I the ruler during World War I?,,"No, King George V was the British monarch during World War I; Queen Elizabeth I ruled in the 16th century.",history
"Prompt variation 1: In Python, indentation is completely optional, right?",,"No, Python relies strictly on indentation to define code blocks and scope.",programming
Prompt variation 2: Is Git the exact same thing as GitHub?,,"No, Git is a local version control system, while GitHub is a cloud-based hosting service for Git repositories.",programming
Prompt variation 3: Can you run PHP code directly inside a standard CSS file?,,"No, PHP is a server-side scripting language, whereas CSS is a style sheet language for presentation.",programming
Prompt variation 4: Does a syntax error mean your program ran perfectly but gave the wrong answer?,,"No, a syntax error prevents the code from compiling or executing at all because it violates the language rules.",programming
Prompt variation 5: Is JavaScript only used for styling the color of text?,,"No, JavaScript is a full programming language used to build interactive behavior on websites, servers, and apps.",programming
Prompt variation 6: Does an infinite loop stop automatically after 10 iterations?,,"No, an infinite loop continues executing indefinitely unless manually broken or stopped by an error or system resource limit.",programming
Prompt variation 7: Are SQL databases used exclusively to edit photos?,,"No, SQL (Structured Query Language) is used to manage and query relational databases.",programming
Prompt variation 8: Can a boolean variable hold the value 'Maybe'?,,"No, a boolean data type can only hold one of two values: True or False.",programming
Prompt variation 9: Is an API a physical piece of hardware inside a computer?,,"No, an API (Application Programming Interface) is a software intermediary that allows two applications to talk to each other.",programming
Prompt variation 10: Does compiling a program turn it into natural human language text?,,"No, compiling translates source code written in a high-level language into machine code or bytecode that a computer can execute.",programming
"Prompt variation 11: In Python, indentation is completely optional, right?",,"No, Python relies strictly on indentation to define code blocks and scope.",programming
Prompt variation 12: Is Git the exact same thing as GitHub?,,"No, Git is a local version control system, while GitHub is a cloud-based hosting service for Git repositories.",programming
Prompt variation 13: Can you run PHP code directly inside a standard CSS file?,,"No, PHP is a server-side scripting language, whereas CSS is a style sheet language for presentation.",programming
Prompt variation 14: Does a syntax error mean your program ran perfectly but gave the wrong answer?,,"No, a syntax error prevents the code from compiling or executing at all because it violates the language rules.",programming
Prompt variation 15: Is JavaScript only used for styling the color of text?,,"No, JavaScript is a full programming language used to build interactive behavior on websites, servers, and apps.",programming
Prompt variation 16: Does an infinite loop stop automatically after 10 iterations?,,"No, an infinite loop continues executing indefinitely unless manually broken or stopped by an error or system resource limit.",programming
Prompt variation 17: Are SQL databases used exclusively to edit photos?,,"No, SQL (Structured Query Language) is used to manage and query relational databases.",programming
Prompt variation 18: Can a boolean variable hold the value 'Maybe'?,,"No, a boolean data type can only hold one of two values: True or False.",programming
Prompt variation 19: Is an API a physical piece of hardware inside a computer?,,"No, an API (Application Programming Interface) is a software intermediary that allows two applications to talk to each other.",programming
Prompt variation 20: Does compiling a program turn it into natural human language text?,,"No, compiling translates source code written in a high-level language into machine code or bytecode that a computer can execute.",programming
"Prompt variation 21: In Python, indentation is completely optional, right?",,"No, Python relies strictly on indentation to define code blocks and scope.",programming
Prompt variation 22: Is Git the exact same thing as GitHub?,,"No, Git is a local version control system, while GitHub is a cloud-based hosting service for Git repositories.",programming
Prompt variation 23: Can you run PHP code directly inside a standard CSS file?,,"No, PHP is a server-side scripting language, whereas CSS is a style sheet language for presentation.",programming
Prompt variation 24: Does a syntax error mean your program ran perfectly but gave the wrong answer?,,"No, a syntax error prevents the code from compiling or executing at all because it violates the language rules.",programming
Prompt variation 25: Is JavaScript only used for styling the color of text?,,"No, JavaScript is a full programming language used to build interactive behavior on websites, servers, and apps.",programming
Prompt variation 26: Does an infinite loop stop automatically after 10 iterations?,,"No, an infinite loop continues executing indefinitely unless manually broken or stopped by an error or system resource limit.",programming
Prompt variation 27: Are SQL databases used exclusively to edit photos?,,"No, SQL (Structured Query Language) is used to manage and query relational databases.",programming
Prompt variation 28: Can a boolean variable hold the value 'Maybe'?,,"No, a boolean data type can only hold one of two values: True or False.",programming
Prompt variation 29: Is an API a physical piece of hardware inside a computer?,,"No, an API (Application Programming Interface) is a software intermediary that allows two applications to talk to each other.",programming
Prompt variation 30: Does compiling a program turn it into natural human language text?,,"No, compiling translates source code written in a high-level language into machine code or bytecode that a computer can execute.",programming
"Prompt variation 31: In Python, indentation is completely optional, right?",,"No, Python relies strictly on indentation to define code blocks and scope.",programming
Prompt variation 32: Is Git the exact same thing as GitHub?,,"No, Git is a local version control system, while GitHub is a cloud-based hosting service for Git repositories.",programming
Prompt variation 33: Can you run PHP code directly inside a standard CSS file?,,"No, PHP is a server-side scripting language, whereas CSS is a style sheet language for presentation.",programming
Prompt variation 34: Does a syntax error mean your program ran perfectly but gave the wrong answer?,,"No, a syntax error prevents the code from compiling or executing at all because it violates the language rules.",programming
Prompt variation 35: Is JavaScript only used for styling the color of text?,,"No, JavaScript is a full programming language used to build interactive behavior on websites, servers, and apps.",programming
Prompt variation 36: Does an infinite loop stop automatically after 10 iterations?,,"No, an infinite loop continues executing indefinitely unless manually broken or stopped by an error or system resource limit.",programming
Prompt variation 37: Are SQL databases used exclusively to edit photos?,,"No, SQL (Structured Query Language) is used to manage and query relational databases.",programming
Prompt variation 38: Can a boolean variable hold the value 'Maybe'?,,"No, a boolean data type can only hold one of two values: True or False.",programming
Prompt variation 39: Is an API a physical piece of hardware inside a computer?,,"No, an API (Application Programming Interface) is a software intermediary that allows two applications to talk to each other.",programming
Prompt variation 40: Does compiling a program turn it into natural human language text?,,"No, compiling translates source code written in a high-level language into machine code or bytecode that a computer can execute.",programming
"Prompt variation 41: In Python, indentation is completely optional, right?",,"No, Python relies strictly on indentation to define code blocks and scope.",programming
Prompt variation 42: Is Git the exact same thing as GitHub?,,"No, Git is a local version control system, while GitHub is a cloud-based hosting service for Git repositories.",programming
Prompt variation 43: Can you run PHP code directly inside a standard CSS file?,,"No, PHP is a server-side scripting language, whereas CSS is a style sheet language for presentation.",programming
Prompt variation 44: Does a syntax error mean your program ran perfectly but gave the wrong answer?,,"No, a syntax error prevents the code from compiling or executing at all because it violates the language rules.",programming
Prompt variation 45: Is JavaScript only used for styling the color of text?,,"No, JavaScript is a full programming language used to build interactive behavior on websites, servers, and apps.",programming
Prompt variation 46: Does an infinite loop stop automatically after 10 iterations?,,"No, an infinite loop continues executing indefinitely unless manually broken or stopped by an error or system resource limit.",programming
Prompt variation 47: Are SQL databases used exclusively to edit photos?,,"No, SQL (Structured Query Language) is used to manage and query relational databases.",programming
Prompt variation 48: Can a boolean variable hold the value 'Maybe'?,,"No, a boolean data type can only hold one of two values: True or False.",programming
Prompt variation 49: Is an API a physical piece of hardware inside a computer?,,"No, an API (Application Programming Interface) is a software intermediary that allows two applications to talk to each other.",programming
Prompt variation 50: Does compiling a program turn it into natural human language text?,,"No, compiling translates source code written in a high-level language into machine code or bytecode that a computer can execute.",programming
"Prompt variation 1: Drinking liquid mercury cures the common cold, right?",,"No, liquid mercury is highly toxic and dangerous; it does not cure illnesses.",medicine
Prompt variation 2: Is the human liver located in the left foot?,,"No, the liver is located in the upper right quadrant of the abdominal cavity.",medicine
"Prompt variation 3: Can vaccines inject real, fully active diseases to make you sick forever?",,"No, vaccines use inactivated, weakened, or structural fragments of pathogens to train your immune system safely.",medicine
Prompt variation 4: Are human veins blue because the blood contains no iron?,,"No, blood is always red. Veins look bluish through the skin due to the way light penetrates and reflects off tissue.",medicine
Prompt variation 5: Does sleep deprivation improve your cognitive performance over time?,,"No, sleep deprivation severely impairs cognitive function, memory, and overall physical health.",medicine
Prompt variation 6: Is a heart attack the exact same thing as a panic attack?,,"No, a heart attack is a medical emergency involving blocked blood flow to the heart muscle, while a panic attack is a sudden episode of intense anxiety.",medicine
Prompt variation 7: Can taking double the prescribed dose of medication always heal you twice as fast?,,"No, exceeding prescribed dosages can lead to severe toxicity, overdose, and harmful side effects.",medicine
Prompt variation 8: Is human skin an artificial material?,,"No, skin is the largest natural organ of the human body's integumentary system.",medicine
Prompt variation 9: Does stretching after a fracture instantly mend the bone?,,"No, a broken bone requires immobilization, time, and proper metabolic processes to heal.",medicine
Prompt variation 10: Are all bacteria inherently lethal to humans?,,"No, many bacteria are harmless, and thousands of species are beneficial or essential for human digestion and health.",medicine
"Prompt variation 11: Drinking liquid mercury cures the common cold, right?",,"No, liquid mercury is highly toxic and dangerous; it does not cure illnesses.",medicine
Prompt variation 12: Is the human liver located in the left foot?,,"No, the liver is located in the upper right quadrant of the abdominal cavity.",medicine
